         45  2.96875e-01 -5.29803e+00  2.42109e+00
         46  3.67188e-01 -5.24816e+00  2.66229e+00
         47  2.96875e-01 -5.37131e+00  2.16294e+00
         48  2.92969e-01 -5.34090e+00  2.26938e+00
         49  3.16406e-01 -5.36533e+00  2.17231e+00
         50  3.67188e-01 -5.26799e+00  2.60429e+00
         51  2.89062e-01 -5.29858e+00  2.41078e+00
         52  3.28125e-01 -5.35552e+00  2.16058e+00
         53  3.82812e-01 -5.37387e+00  2.08536e+00
         54  3.75000e-01 -5.31639e+00  2.21582e+00
         55  3.78906e-01 -5.32801e+00  2.18268e+00
         56  4.21875e-01 -5.26727e+00  2.45041e+00
         57  3.28125e-01 -5.29294e+00  2.32192e+00
         58  3.90625e-01 -5.30865e+00  2.26587e+00
         59  3.43750e-01 -5.33226e+00  2.12662e+00
         60  3.59375e-01 -5.44505e+00  1.66799e+00
         61  3.32031e-01 -5.36849e+00  2.03200e+00
         62  3.28125e-01 -5.40986e+00  1.77225e+00
         63  3.63281e-01 -5.38430e+00  1.78380e+00
         64  3.12500e-01 -5.38412e+00  1.80311e+00
         65  3.55469e-01 -5.33642e+00  2.10131e+00
         66  3.47656e-01 -5.31610e+00  2.08189e+00
         67  3.47656e-01 -5.36241e+00  1.87552e+00
         68  3.55469e-01 -5.27202e+00  2.24143e+00
         69  3.35938e-01 -5.29997e+00  2.14660e+00
         70  3.59375e-01 -5.30954e+00  2.13348e+00
         71  3.67188e-01 -5.29817e+00  2.17387e+00
         72  3.71094e-01 -5.30362e+00  2.16925e+00
         73  3.98438e-01 -5.29982e+00  2.18337e+00
         74  3.08594e-01 -5.25927e+00  2.38813e+00
         75  3.20312e-01 -5.28378e+00  2.27018e+00
         76  3.55469e-01 -5.33199e+00  2.03966e+00
         77  3.59375e-01 -5.35411e+00  1.87962e+00
         78  3.75000e-01 -5.29388e+00  2.16503e+00
         79  3.32031e-01 -5.36071e+00  1.90848e+00
         80  3.47656e-01 -5.38244e+00  1.86991e+00
         81  3.67188e-01 -5.42341e+00  1.66461e+00
         82  3.32031e-01 -5.43380e+00  1.58143e+00
         83  3.55469e-01 -5.40629e+00  1.66716e+00
         84  3.71094e-01 -5.32712e+00  2.02664e+00
         85  3.51562e-01 -5.29911e+00  2.18170e+00
         86  3.32031e-01 -5.25415e+00  2.39777e+00
         87  3.55469e-01 -5.31852e+00  2.10477e+00
         88  3.63281e-01 -5.37214e+00  1.90745e+00
         89  3.59375e-01 -5.35179e+00  1.94186e+00
         90  3.71094e-01 -5.39858e+00  1.72368e+00
         91  3.00781e-01 -5.35921e+00  1.99962e+00
         92  3.67188e-01 -5.39005e+00  1.84233e+00
         93  3.24219e-01 -5.38846e+00  1.85333e+00
         94  3.98438e-01 -5.39401e+00  1.83720e+00
         95  3.24219e-01 -5.39000e+00  1.82522e+00
         96  3.00781e-01 -5.40193e+00  1.73930e+00
         97  3.39844e-01 -5.35917e+00  1.91298e+00
         98  4.06250e-01 -5.33557e+00  1.95509e+00
         99  3.63281e-01 -5.29923e+00  2.11396e+00
        100  3.98438e-01 -5.27692e+00  2.25549e+00
